こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,1,312,9.3,1.5,1.8,68.9,0,0.06,0.02,0.03,0,0,0,0.3,0,2.7,10,0.52,1.1,2300,110,20,23,70,0.6,0.4,0.14,0.43,1,22,1,16
こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,1,119,3.5,0.6,1,25.5,0,0.03,0.01,0,0,0,0,0,0,0.9,2,0.16,null,130,5,6,4,23,0.2,0.1,0.05,0.12,null,null,null,null
こむぎ　［中華めん類］　中華めん　生,1,249,8.6,1.2,5.4,55.7,0,0.02,0.02,0.02,0,0,0,0.3,null,2.3,8,0.55,1,410,350,21,13,66,0.5,0.4,0.09,0.35,0,33,1,20
こむぎ　［中華めん類］　中華めん　ゆで,1,133,4.9,0.6,2.8,29.2,0,0.01,0.01,0,0,0,0,0.2,null,1.2,3,0.25,0.5,70,60,20,7,29,0.3,0.2,0.05,0.18,0,17,0,5
こむぎ　［中華めん類］　半生中華めん　,1,305,9.9,4,6.2,61.2,0,0.07,0.03,0.02,0,0,0,0.7,null,2.6,9,0.63,1.3,470,430,21,15,72,0.7,0.4,0.1,0.4,1,35,1,23
こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,1,162,4.9,1.7,3.1,35.6,0,0,0.16,0.02,0,0,0,0.2,null,1.4,4,0.19,0.7,110,80,10,9,40,0.4,0.2,0.06,0.23,0,9,1,6
こむぎ　［中華めん類］　蒸し中華めん  ソテー,1,211,5.2,4.9,3.6,38.9,0,0,0,0.02,0,0,0,0.2,null,1.5,4,0.21,0.8,130,87,10,10,43,0.4,0.2,0.06,0.25,0,10,1,7
こむぎ　［中華めん類］　干し中華めん　乾,1,337,11.7,1.6,6,70.2,0,0.02,0.03,0.05,0,0,0,0.3,null,3.1,11,0.76,1.4,410,300,21,23,82,1.1,0.5,0.15,0.44,0,24,1,18
こむぎ　［中華めん類］　干し中華めん　ゆで,1,131,4.9,0.5,2.6,27.5,0,0,0,0.01,0,0,0,0,null,1.1,3,0.25,0.5,66,42,13,10,29,0.4,0.2,0.05,0.18,0,9,0,4
こむぎ　［中華めん類］　沖縄そば　生,1,266,9.2,2,2.1,54.2,0,0.02,0.04,0.11,0,0,0,0.5,0,2.6,15,0.63,null,810,340,11,50,65,0.7,1.1,0.18,0.69,null,null,null,null
こむぎ　［中華めん類］　沖縄そば　ゆで,1,132,5.2,0.8,1.5,28,0,0.01,0.02,0.03,0,0,0,0.3,0,1.2,6,0.23,null,170,80,9,28,28,0.4,0.6,0.1,0.37,null,null,null,null
こむぎ　［中華めん類］　干し沖縄そば　乾,1,317,12,1.7,2.1,67.8,0,0.12,0.05,0.05,0,0,0,0.2,0,3.5,8,0.49,null,1700,130,23,22,100,1.5,0.4,0.11,0.38,null,null,null,null
こむぎ　［中華めん類］　干し沖縄そば　ゆで,1,132,5.2,0.6,1.5,28.6,0,0.02,0.02,0.01,0,0,0,0,0,1.2,3,0.18,null,200,10,11,8,36,0.5,0.1,0.05,0.16,null,null,null,null
こむぎ　［即席めん類］　即席中華めん　油揚げ味付け,1,424,10.1,16.7,2.5,63.5,0,1.46,1.67,0.06,0,0,0,9,1,2.5,12,0.41,null,2500,260,430,29,110,1,0.5,0.13,0.82,null,null,null,null
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含むもの）,1,439,10.1,19.1,2.4,61.4,29,0.55,0.83,0.05,0,0,0,7.3,3,2.6,10,0.44,1.8,2200,150,230,25,110,0.9,0.5,0.16,0.53,2,16,7,16
こむぎ　［即席めん類］　即席中華めん　油揚げ　調理後全体　（添付調味料等を含むもの）,1,100,2.3,4.4,0.5,13.4,6,0.02,0.13,0.01,0,0,0,1.6,1,0.6,2,0.1,0.4,430,33,28,6,20,0.2,0.1,0.03,0.12,0,4,2,4
こむぎ　［即席めん類］　即席中華めん　油揚げ　ゆで　（添付調味料等を含まないもの）,1,189,3.9,7.7,2.6,27.9,2,0.05,0.06,0.01,0,0,0,3.7,0,1.1,3,0.11,0.7,150,34,95,8,40,0.2,0.2,0.05,0.17,1,9,2,6
こむぎ　［即席めん類］　即席中華めん　油揚げ　乾　（添付調味料等を含まないもの）,1,453,8.9,19.6,5.5,65.5,2,0.16,0.19,0.05,0,0,0,8.4,1,2.8,9,0.26,1.6,580,150,220,20,97,0.6,0.4,0.09,0.42,1,24,5,18
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含むもの）,1,336,10.3,5.2,2.3,67.1,11,0.21,0.04,0.05,0,0,0,7.6,3,2.7,14,0.37,2.2,2700,260,110,25,110,0.8,0.4,0.11,0.66,13,8,3,16
こむぎ　［即席めん類］　即席中華めん　非油揚げ　調理後全体　（添付調味料等を含むもの）,1,93,3,0.8,0.6,18.7,4,0.01,0.01,0.01,0,0,0,1.9,1,0.7,4,0.1,0.6,430,68,6,6,26,0.2,0.1,0.03,0.17,4,2,1,4
こむぎ　［即席めん類］　即席中華めん　非油揚げ　ゆで　（添付調味料等を含まないもの）,1,139,3.4,0.8,2.7,31,71,0,0,0.01,0,0,0,6.5,0,1.1,3,0.12,0.6,230,64,94,8,46,0.2,0.2,0.04,0.17,1,5,2,4
こむぎ　［即席めん類］　即席中華めん　非油揚げ　乾　（添付調味料等を含まないもの）,1,334,8.5,1.9,6.5,75.2,139,0.01,0.01,0.05,0,0,0,11.5,0,2.8,8,0.34,1.5,1200,310,230,21,130,0.6,0.4,0.08,0.5,3,14,6,15
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　乾　（添付調味料等を含むもの）,1,422,10.9,18.5,5.8,58.6,634,0.9,0.61,0.07,0.1,2,0.2,11,17,2.9,16,0.3,2.3,2300,190,190,25,110,0.7,0.5,0.09,0.41,5,22,9,15
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後全体　（添付調味料等を含むもの）,1,92,2.5,4.2,1.3,13.2,142,0.2,0.14,0.02,0,1,0,3.4,4,0.7,4,0.07,0.5,520,43,43,6,24,0.2,0.1,0.02,0.09,1,5,2,3
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　塩味　調理後のめん　（スープを残したもの）,1,175,3.8,7.7,2.2,25.2,142,0.19,0.14,0.02,0,0,0,6.3,1,0.9,4,0.1,0.6,440,37,76,7,34,0.3,0.2,0.04,0.14,1,9,3,5
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　乾　（添付調味料等を含むもの）,1,417,10,19.1,6.1,54.6,288,0.61,0.52,0.06,0.1,2,0,15.3,10,2.7,14,0.2,2.4,2500,180,200,26,110,0.8,0.5,0.07,0.4,12,19,7,17
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後全体　（添付調味料等を含むもの）,1,90,2.3,4.5,1.4,12.9,68,0.14,0.12,0.01,0,1,0,3.6,2,0.6,3,0.05,0.6,590,43,46,6,27,0.2,0.1,0.02,0.09,3,4,2,4
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　しょうゆ味　調理後のめん　（スープを残したもの）,1,142,3,5.8,1.9,20.7,21,0.15,0.14,0.01,0,0,0,4.6,1,0.8,3,0.07,0.6,450,33,74,6,28,0.2,0.1,0.04,0.13,3,7,2,4
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　乾　（添付調味料等を含むもの）,1,418,8.2,18.6,5.7,57.5,107,0.48,0.66,0.06,0,1,0,11.2,14,2.1,13,0.38,1.9,1500,180,180,27,89,1,0.4,0.12,0.56,6,16,4,15
こむぎ　［即席めん類］　中華スタイル即席カップめん　油揚げ　焼きそば　調理後全体　（添付調味料等を含むもの）,1,222,5,11.3,3.3,34.2,41,0.28,0.3,0.04,0,2,0,9.5,11,1.4,9,0.15,1.1,910,100,94,14,54,0.4,0.3,0.06,0.3,3,9,3,9
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　乾　（添付調味料等を含むもの）,1,314,9.2,5.8,6.4,62.6,305,0.16,0.13,0.07,0,1,0,6.4,9,2.2,21,0.35,2.9,2800,250,48,26,100,1.2,0.4,0.1,0.66,58,14,7,18
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後全体　（添付調味料等を含むもの）,1,66,2.5,2.1,1.5,10.2,65,0.1,0.1,0.02,0,2,0,1.6,3,0.7,4,0.08,0.7,560,77,44,7,34,0.2,0.1,0.02,0.12,14,3,2,4
こむぎ　［即席めん類］　中華スタイル即席カップめん　非油揚げ　調理後のめん　（スープを残したもの）,1,121,3.4,1.3,2.5,25.3,10,0.05,0.06,0.01,0,0,0,1.7,1,0.8,3,0.07,0.6,380,53,76,7,42,0.3,0.1,0.03,0.17,10,5,2,3
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　乾　（添付調味料等を含むもの）,1,437,10.9,19.8,6,56.1,111,0.11,0.05,0.05,0.2,1,0,11.1,5,2.9,12,0.25,2,2600,150,170,26,160,1.3,0.5,0.11,0.54,430,13,5,19
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後全体　（添付調味料等を含むもの）,1,91,2.2,4.7,1.4,11.2,13,0.19,0.08,0.01,0,2,0,3.1,1,0.6,2,0.06,0.5,550,34,41,6,38,0.2,0.1,0.02,0.1,99,3,1,4
こむぎ　［即席めん類］　和風スタイル即席カップめん　油揚げ　調理後のめん　（スープを残したもの）,1,163,2.7,7.2,2.4,24.4,2,0.15,0.06,0.01,0,1,0,3.7,1,0.7,3,0.07,0.4,420,26,78,6,48,0.2,0.1,0.02,0.13,77,4,2,3
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　乾,1,347,12.9,1.8,5.4,73.1,10,0.19,0.06,0.11,0,0,0,0.5,0,4.9,13,0.65,4,1,200,18,55,130,1.4,1.5,0.28,0.82,0,63,1,53
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ゆで,1,150,5.8,0.9,3,32.2,0,0.06,0.03,0.02,0,0,0,0.2,0,1.7,4,0.28,1.6,460,14,8,20,53,0.7,0.7,0.14,0.35,0,32,1,13
こむぎ　［マカロニ・スパゲッティ類］　マカロニ・スパゲッティ　ソテー,1,186,5.5,5.8,2.9,30.5,0,0.06,0.03,0.02,0,0,0,2.7,6,1.7,4,0.27,1.5,440,13,8,19,50,0.7,0.7,0.13,0.33,0,31,1,12
こむぎ　［マカロニ・スパゲッティ類］　生パスタ　生,1,232,7.8,1.9,1.5,46.9,0,0.05,0.04,0.05,0,0,null,0.3,0,2.6,9,0.27,null,470,76,12,18,73,0.5,0.5,0.12,0.32,null,null,null,null
こむぎ　［ふ類］　生ふ,1,161,12.7,0.8,0.5,26.2,0,0.08,0.03,0.02,0,0,0,0.1,0,2.9,7,0.12,null,7,30,13,18,60,1.3,1.8,0.25,1.04,null,null,null,null
こむぎ　［ふ類］　焼きふ　釜焼きふ,1,357,28.5,2.7,3.7,56.9,0,0.16,0.07,0.08,0,0,0,5.8,0,9,16,0.58,null,6,120,33,43,130,3.3,2.2,0.32,null,null,null,null,null
こむぎ　［ふ類］　焼きふ　板ふ,1,351,25.6,3.3,3.8,57.3,0,0.2,0.08,0.16,0,0,0,2.3,0,8.5,22,0.79,null,190,220,31,90,220,4.9,2.9,0.49,1.54,null,null,null,null
こむぎ　［ふ類］　焼きふ　車ふ,1,361,30.2,3.4,2.6,54.2,0,0.12,0.07,0.07,0,0,0,0.8,0,8.7,11,0.47,null,110,130,25,53,130,4.2,2.7,0.42,1.23,null,null,null,null
こむぎ　［ふ類］　油ふ,1,547,22.7,35.3,null,34.4,2,0.07,0.03,0.06,0.1,null,0,10.3,65,5.6,17,0.22,4.6,22,71,19,28,95,1.7,1.4,0.21,0.94,0,38,3,19
